module,category,file,first_line,matched_patterns
automation,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/treefarm/WorkSiteTreeFarm.java,4,net\.minecraft\.block\.
automation,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/automation/tile/worksite/treefarm/WorkSiteTreeFarm.java,23,CombinedInvWrapper | InvWrapper
core,lifecycle/proxy,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,11,net\.minecraftforge\.fml\.common\.event\.FML | net\.minecraftforge\.fml\.common\.SidedProxy | net\.minecraftforge\.fml\.common\.Mod\.(?:EventHandler|Instance)
core,registry,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,7,RegistryEvent
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,17,FMLServerStartingEvent
core,codechickenlib,src/main/java/net/shadowmage/ancientwarfare/core/AncientWarfareCore.java,3,codechicken\.lib
core,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockBase.java,4,net\.minecraft\.block\.
core,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockBaseCore.java,3,net\.minecraft\.block\.
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockBaseCore.java,36,ModelLoader\.setCustom
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockEngineeringStation.java,64,openGui\(
core,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockEngineeringStation.java,3,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getStateFromMeta\( | getMetaFromState\(
core,block/blockstate,src/main/java/net/shadowmage/ancientwarfare/core/block/BlockResearchStation.java,3,net\.minecraft\.block\. | BlockStateContainer | createBlockState\( | getStateFromMeta\( | getMetaFromState\(
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/CommandResearch.java,3,ICommandSender | CommandBase
core,worldgen,src/main/java/net/shadowmage/ancientwarfare/core/command/CommandUtils.java,18,BiomeDictionary
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/CommandUtils.java,5,ICommandSender
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/ISubCommand.java,4,ICommandSender
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/ParentCommand.java,4,ICommandSender
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/RootCommand.java,3,ICommandSender | CommandBase
core,commands,src/main/java/net/shadowmage/ancientwarfare/core/command/SimpleSubCommand.java,4,ICommandSender
core,ftb-legacy,src/main/java/net/shadowmage/ancientwarfare/core/compat/ftb/FTBTeamViewer.java,18,ForgeTeam | ForgePlayer | Universe
core,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/core/compat/jei/MultiRecipeTransferHandler.java,21,CombinedInvWrapper | InvWrapper
core,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/core/compat/jei/PacketTransferRecipe.java,10,CombinedInvWrapper | InvWrapper
core,capability/item-handler,src/main/java/net/shadowmage/ancientwarfare/core/container/ContainerEngineeringStation.java,16,CombinedInvWrapper | InvWrapper
core,registry,src/main/java/net/shadowmage/ancientwarfare/core/crafting/AWCraftingManager.java,143,ForgeRegistries\.[A-Z_]+\.register
core,registry,src/main/java/net/shadowmage/ancientwarfare/core/entity/AWEntityRegistry.java,6,EntityRegistry
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiBackpack.java,8,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiContainerBase.java,5,GuiContainer
core,rendering,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiContainerBase.java,6,GlStateManager
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiFileSelect.java,12,GuiContainer | GuiScreen
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiInfoTool.java,10,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiResearchBook.java,29,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/GuiSelectFromList.java,16,GuiContainer | GuiScreen
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/Listener.java,3,GuiContainer
core,gui/menu,src/main/java/net/shadowmage/ancientwarfare/core/gui/crafting/GuiEngineeringStation.java,5,GuiContainer
